{256265=>{:time=>"9:15", :open=>14687.25, :high=>14722.0, :low=>14648.35, :close=>14669.05}}
{256265=>{:time=>"9:30", :open=>14668.05, :high=>14686.85, :low=>14618.15, :close=>14620.35}}
{256265=>{:time=>"9:45", :open=>14620.0, :high=>14652.85, :low=>14581.4, :close=>14652.05}}
{256265=>{:time=>"10:0", :open=>14651.65, :high=>14669.85, :low=>14642.45, :close=>14650.15}}
{256265=>{:time=>"10:15", :open=>14645.7, :high=>14656.25, :low=>14632.75, :close=>14646.75}}
{256265=>{:time=>"10:30", :open=>14645.85, :high=>14664.8, :low=>14644.65, :close=>14652.1}}
{256265=>{:time=>"10:45", :open=>14652.3, :high=>14665.6, :low=>14649.2, :close=>14660.65}}
{256265=>{:time=>"11:0", :open=>14660.45, :high=>14688.75, :low=>14656.5, :close=>14686.15}}
{256265=>{:time=>"11:15", :open=>14686.25, :high=>14691.6, :low=>14668.4, :close=>14672.45}}
{256265=>{:time=>"11:30", :open=>14671.6, :high=>14699.95, :low=>14669.0, :close=>14691.45}}
{256265=>{:time=>"11:45", :open=>14691.85, :high=>14695.3, :low=>14682.15, :close=>14688.55}}
{256265=>{:time=>"12:0", :open=>14687.3, :high=>14693.75, :low=>14660.85, :close=>14668.35}}
{256265=>{:time=>"12:15", :open=>14668.75, :high=>14678.05, :low=>14646.25, :close=>14675.2}}
{256265=>{:time=>"12:30", :open=>14674.05, :high=>14680.0, :low=>14652.4, :close=>14669.15}}
{256265=>{:time=>"12:45", :open=>14669.7, :high=>14679.15, :low=>14656.1, :close=>14665.7}}
{256265=>{:time=>"13:0", :open=>14665.6, :high=>14665.6, :low=>14578.8, :close=>14578.8}}
{256265=>{:time=>"13:15", :open=>14578.1, :high=>14607.15, :low=>14562.25, :close=>14607.15}}
{256265=>{:time=>"13:30", :open=>14606.75, :high=>14620.5, :low=>14591.4, :close=>14604.85}}
{256265=>{:time=>"13:45", :open=>14604.6, :high=>14635.35, :low=>14599.6, :close=>14616.55}}
{256265=>{:time=>"14:0", :open=>14616.45, :high=>14637.1, :low=>14590.8, :close=>14602.25}}
{256265=>{:time=>"14:15", :open=>14603.05, :high=>14619.7, :low=>14595.55, :close=>14605.9}}
{256265=>{:time=>"14:30", :open=>14605.95, :high=>14623.95, :low=>14489.8, :close=>14491.9}}
{256265=>{:time=>"14:45", :open=>14491.6, :high=>14519.75, :low=>14462.65, :close=>14463.0}}
{256265=>{:time=>"15:0", :open=>14465.5, :high=>14513.2, :low=>14465.45, :close=>14505.45}}
